Humidity,Temperature,Time
66,24,12/09/2019 21:01:10
66,24,12/09/2019 21:01:20
66,24,12/09/2019 21:01:30
66,23,12/09/2019 21:01:40
66,23,12/09/2019 21:01:51
66,23,12/09/2019 21:02:01
66,23,12/09/2019 21:02:11
66,23,12/09/2019 21:02:21
66,23,12/09/2019 21:02:31
66,23,12/09/2019 21:02:41
66,23,12/09/2019 21:02:51
66,23,12/09/2019 21:03:01
66,23,12/09/2019 21:03:11
66,23,12/09/2019 21:03:21
66,23,12/09/2019 21:03:31
66,23,12/09/2019 21:03:41
66,23,12/09/2019 21:03:52
66,23,12/09/2019 21:04:02
66,23,12/09/2019 21:04:13
65,23,12/09/2019 21:04:23
66,23,12/09/2019 21:04:34
66,23,12/09/2019 21:04:45
66,23,12/09/2019 21:04:55
65,23,12/09/2019 21:05:07
65,23,12/09/2019 21:05:17
66,23,12/09/2019 21:05:28
66,23,12/09/2019 21:05:38
66,23,12/09/2019 21:05:49
65,23,12/09/2019 21:05:59
66,23,12/09/2019 21:06:11
66,23,12/09/2019 21:06:22
66,23,12/09/2019 21:06:32
66,23,12/09/2019 21:06:43
65,23,12/09/2019 21:06:53
66,23,12/09/2019 21:07:04
66,23,12/09/2019 21:07:15
66,23,12/09/2019 21:07:26
66,23,12/09/2019 21:07:36
66,23,12/09/2019 21:07:46
66,23,12/09/2019 21:07:57
66,23,12/09/2019 21:08:08
66,23,12/09/2019 21:08:18
66,23,12/09/2019 21:08:29
65,23,12/09/2019 21:08:39
66,23,12/09/2019 21:08:49
66,23,12/09/2019 21:09:00
66,23,12/09/2019 21:09:10
66,23,12/09/2019 21:09:21
66,23,12/09/2019 21:09:32
66,23,12/09/2019 21:09:43
66,23,12/09/2019 21:09:54
65,23,12/09/2019 21:10:05
66,23,12/09/2019 21:10:15
66,23,12/09/2019 21:10:25
66,23,12/09/2019 21:10:35
66,23,12/09/2019 21:10:46
66,23,12/09/2019 21:10:58
65,23,12/09/2019 21:11:08
65,23,12/09/2019 21:11:18
66,23,12/09/2019 21:11:28
66,23,12/09/2019 21:11:38
65,23,12/09/2019 21:11:49
65,23,12/09/2019 21:11:59
65,23,12/09/2019 21:12:09
66,23,12/09/2019 21:12:20
65,23,12/09/2019 21:12:30
66,23,12/09/2019 21:12:41
66,23,12/09/2019 21:12:51
65,23,12/09/2019 21:13:02
65,23,12/09/2019 21:13:12
65,23,12/09/2019 21:13:22
65,23,12/09/2019 21:13:32
65,23,12/09/2019 21:13:43
65,23,12/09/2019 21:13:53
66,23,12/09/2019 21:14:04
66,23,12/09/2019 21:14:14
65,23,12/09/2019 21:14:25
65,23,12/09/2019 21:14:36
65,23,12/09/2019 21:14:46
65,23,12/09/2019 21:14:58
65,23,12/09/2019 21:15:08
65,23,12/09/2019 21:15:19
65,23,12/09/2019 21:15:30
65,23,12/09/2019 21:15:40
65,23,12/09/2019 21:15:50
65,23,12/09/2019 21:16:00
66,23,12/09/2019 21:16:11
65,23,12/09/2019 21:16:22
65,23,12/09/2019 21:16:32
65,23,12/09/2019 21:16:43
65,23,12/09/2019 21:16:53
65,23,12/09/2019 21:17:04
65,23,12/09/2019 21:17:14
65,23,12/09/2019 21:17:26
65,23,12/09/2019 21:17:37
65,23,12/09/2019 21:17:47
65,23,12/09/2019 21:17:58
65,23,12/09/2019 21:18:08
66,23,12/09/2019 21:18:20
65,23,12/09/2019 21:18:31
65,23,12/09/2019 21:18:41
66,23,12/09/2019 21:18:52
65,23,12/09/2019 21:19:02
